Pt.	Date	Time	RT/s	R/Omiga	
	245	2018_02_13	17_32_53	2440	107.49933
	246	2018_02_13	17_33_03	2450	107.5008
	247	2018_02_13	17_33_13	2460	107.50233
	248	2018_02_13	17_33_23	2470	107.50374
	249	2018_02_13	17_33_33	2480	107.50582
	250	2018_02_13	17_33_43	2490	107.50685
	251	2018_02_13	17_33_53	2500	107.50861
	252	2018_02_13	17_34_03	2510	107.51067
	253	2018_02_13	17_34_13	2520	107.51173
	254	2018_02_13	17_34_23	2530	107.51328
	255	2018_02_13	17_34_33	2540	107.51431
	256	2018_02_13	17_34_43	2550	107.51525
	257	2018_02_13	17_34_53	2560	107.51728
	258	2018_02_13	17_35_03	2570	107.51822
	259	2018_02_13	17_35_13	2580	107.51974
	260	2018_02_13	17_35_23	2590	107.52092
	261	2018_02_13	17_35_33	2600	107.52253
	262	2018_02_13	17_35_43	2610	107.5233
	263	2018_02_13	17_35_53	2620	107.52512
	264	2018_02_13	17_36_03	2630	107.52662
	265	2018_02_13	17_36_13	2640	107.52761
	266	2018_02_13	17_36_23	2650	107.52879
	267	2018_02_13	17_36_33	2660	107.5297
	268	2018_02_13	17_36_43	2670	107.53096
	269	2018_02_13	17_36_53	2680	107.53255
	270	2018_02_13	17_37_03	2690	107.53334
	271	2018_02_13	17_37_13	2700	107.53519
	272	2018_02_13	17_37_23	2710	107.53616
	273	2018_02_13	17_37_33	2720	107.53719
	274	2018_02_13	17_37_43	2730	107.53863
	275	2018_02_13	17_37_53	2740	107.54004
	276	2018_02_13	17_38_03	2750	107.54077
	277	2018_02_13	17_38_13	2760	107.54218
	278	2018_02_13	17_38_23	2770	107.54321
	279	2018_02_13	17_38_33	2780	107.54438
	280	2018_02_13	17_38_43	2790	107.54515
	281	2018_02_13	17_38_53	2800	107.54635
	282	2018_02_13	17_39_03	2810	107.54712
	283	2018_02_13	17_39_13	2820	107.5482
	284	2018_02_13	17_39_23	2830	107.54902
	285	2018_02_13	17_39_33	2840	107.54973
	286	2018_02_13	17_39_43	2850	107.55111
	287	2018_02_13	17_39_53	2860	107.55187
	288	2018_02_13	17_40_03	2870	107.55305
	289	2018_02_13	17_40_13	2880	107.55372
	290	2018_02_13	17_40_23	2890	107.55463
	291	2018_02_13	17_40_33	2900	107.55596
	292	2018_02_13	17_40_43	2910	107.5569
	293	2018_02_13	17_40_53	2920	107.55763
	294	2018_02_13	17_41_03	2930	107.55869
	295	2018_02_13	17_41_13	2940	107.55898
	296	2018_02_13	17_41_23	2950	107.55989
	297	2018_02_13	17_41_33	2960	107.56045
	298	2018_02_13	17_41_43	2970	107.56136
	299	2018_02_13	17_41_53	2980	107.56242
	300	2018_02_13	17_42_03	2990	107.56324
	301	2018_02_13	17_42_13	3000	107.56315
	302	2018_02_13	17_42_23	3010	107.5643
	303	2018_02_13	17_42_33	3020	107.56488
	304	2018_02_13	17_42_43	3030	107.56565
	305	2018_02_13	17_42_53	3040	107.56656
	306	2018_02_13	17_43_03	3050	107.56667
